Date,Adj Close,Open,High,Low,Change %
11-Mar-16,113.81,113.18,113.92,112.76,0.55%
14-Mar-16,113.83,113.82,114.02,113.48,0.02%
15-Mar-16,113.19,113.81,113.94,112.61,-0.56%
16-Mar-16,112.59,113.14,113.83,112.31,-0.53%
17-Mar-16,111.39,112.53,112.97,110.65,-1.07%
18-Mar-16,111.57,111.38,111.77,110.8,0.16%
21-Mar-16,111.94,111.43,111.98,111.2,0.33%
22-Mar-16,112.38,111.94,112.5,111.36,0.39%
23-Mar-16,112.38,112.36,112.93,112.12,0.00%
24-Mar-16,112.91,112.37,113.02,112.27,0.47%
25-Mar-16,113.07,112.91,113.33,112.73,0.14%
28-Mar-16,113.45,113.08,113.7,113.03,0.34%
29-Mar-16,112.69,113.42,113.81,112.58,-0.67%
30-Mar-16,112.42,112.69,112.81,111.99,-0.24%
31-Mar-16,112.58,112.39,112.67,112.08,0.14%
1-Apr-16,111.67,112.56,112.59,111.56,-0.81%
4-Apr-16,111.33,111.68,111.81,111.06,-0.30%
5-Apr-16,110.33,111.32,111.36,109.94,-0.90%
6-Apr-16,109.8,110.32,110.64,109.31,-0.48%
7-Apr-16,108.22,109.78,109.86,107.67,-1.44%
8-Apr-16,108.06,108.2,109.11,108.01,-0.15%
11-Apr-16,107.94,108.05,108.44,107.61,-0.11%
12-Apr-16,108.55,107.93,108.8,107.84,0.57%
13-Apr-16,109.34,108.53,109.41,108.48,0.73%
14-Apr-16,109.4,109.36,109.57,108.91,0.05%
15-Apr-16,108.77,109.41,109.77,108.61,-0.58%
18-Apr-16,108.83,108.23,109,107.83,0.06%
19-Apr-16,109.2,108.83,109.52,108.76,0.34%
20-Apr-16,109.84,109.2,109.89,108.75,0.59%
21-Apr-16,109.45,109.88,109.91,109.31,-0.36%
22-Apr-16,111.79,109.46,111.82,109.25,2.14%
25-Apr-16,111.2,111.56,111.92,110.83,-0.53%
26-Apr-16,111.31,111.2,111.48,110.66,0.10%
27-Apr-16,111.47,111.31,111.77,111.02,0.14%
28-Apr-16,108.11,111.5,111.92,107.88,-3.01%
29-Apr-16,106.36,108.11,108.2,106.28,-1.62%
2-May-16,106.42,106.29,106.83,106.16,0.06%
3-May-16,106.61,106.42,106.69,105.53,0.18%
4-May-16,107.02,106.61,107.47,106.25,0.38%
5-May-16,107.25,107,107.5,106.8,0.21%
6-May-16,107.12,107.28,107.44,106.45,-0.12%
9-May-16,108.33,107.11,108.61,107.02,1.13%
10-May-16,109.27,108.34,109.36,108.25,0.87%
11-May-16,108.42,109.27,109.39,108.36,-0.78%
